"","alpha.ini","beta.ini","a.ini","alpha.est","beta.est","a.est","iteration","nothing","convergence.code","min.value","tau.est","tau.reparam"
"27",-0.49395470879972,2.79924477823079,-0.511199062895035,0.499254727524127,-0.979991552271926,0.101995735722032,106,NA,0,1930.79529606826,0.0741704777532068,-0.118641600920527
"28",-1.73820267710835,0.625992988236248,2.37441802294198,0.503879704711946,-1.03279343325603,0.0938142786162092,233,NA,0,1821.78495114215,0.381626229512166,0.202816745792544
"29",1.25323743280023,2.20997027028352,-0.206165696754256,0.492995213680213,-0.948826756848202,0.09948937106137,194,NA,0,1957.58776831379,0.296173231517329,0.107929602912443
"30",0.3229716476053,1.78330026008189,0.361660509429263,0.492711734936416,-1.04975184161979,0.103329587607807,138,NA,0,1899.76035132956,0.133126009000767,-0.0639126802391742
"31",0.253343732096255,1.76883597671986,0.360926811619272,0.496375536078985,-0.96369216934792,0.10040561234145,124,NA,0,1955.26481880276,0.103919266214704,-0.0867257633575265
"32",1.01169150788337,1.70362223405391,-0.863451824078196,0.499367419472816,-0.976817396954538,0.103299299186441,114,NA,0,1969.63524480716,0.298264790710657,0.100591889356713
"33",0.0332943312823772,2.57036411948502,-0.404960810057866,0.508055894486514,-1.0236344706091,0.0999475566892989,140,NA,0,1905.74673809977,0.113299902616038,-0.0774516082942614
"34",-0.547484695911407,2.03727498743683,0.210714347565252,0.519435845152454,-1.0188676448172,0.0968442558111418,140,NA,0,1878.04256676761,0.0303349098377201,-0.154164631035443
"35",-0.171968406066298,2.68571768514812,0.278619338414082,0.505522730145091,-1.02639754516526,0.0994548584312095,118,NA,0,1881.44668032883,0.0959786641502618,-0.0932891602281743
"36",0.159917772747576,2.06882061436772,-0.502466868671233,0.511237032070363,-1.04394757500005,0.0976759686872964,140,NA,0,1856.54878093249,0.108753623714395,-0.0779656650945529
"37",-0.0281431628391147,2.47728105355054,0.280807280773408,0.481187904521937,-0.998772234489191,0.099170066607978,178,NA,0,1920.19455554069,0.110702593724453,-0.0782568240514086
